Country Location,Project Date,Country Code,Project Name,Size or Capture Amount/unit base power,Latitude,Longitude
United States,,USA,Lost Cabin Gas Plant CCS Project,0.0,43.2932039368698,-107.602147592773
Romania,,Rom,Getica CCS Demonstration Project,4109.99986343086,44.669722,23.407778
United States,2019-12-19,USA,Project Tundra Carbon Capture System,455.0,47.065715,-101.21429
United States,2020-09-01,USA,North Dakota CarbonSAFE Phase III: Site Characterization and Permitting,0.0,47.0946,-101.309539
United States,2019-10-01,USA,Front End Engineering Design of Linde-BASF Advanced Post-Combution CO2 Capture Technology at a Southern Company Natural Gas-Fired Power Plant,1000.0,30.533711,-88.555873
United States,2019-10-15,USA,Large-Scale Commercial Carbon Capture Retrofit of the San Juan Generating Station,423.5,36.803648,-108.440482
United States,2020-10-01,USA,San Juan Basin CarbonSAFE Phase III: Ensuring Safe Subsurface Storage of CO2 in Saline Reservoirs,0.0,36.934091,-108.05291
United States,2020-01-01,USA,Full-Scale FEED Study For a 816 Mwe Capture Plant at the Prairie State Generating Company Using Mitsubishi Heavy Industries of America Technolog,0.0,38.27819099,-89.6671705
United States,2020-08-01,USA,Illinois Storage Corridor,0.0,38.276682,-89.705819
United States,2020-10-01,USA,Commercial-Scale FEED Study For MTR's Membrane CO2 Capture Process,385.0,4.389034,-105.461138
United States,2020-10-01,USA,Wyoming CarbonSAFE Accelerating CCUS Commercialization and Deployment at Dry Fork Power Station and the Wyoming Integrated Test Center,0.0,44.390811,-105.438446
United States,2019-10-01,USA,Design and costing of ION's CO2 capture plant retrofitted to a 700 MW coal-fired power plant,700.0,41.080848,-101.141182
United States,2018-08-10,USA,Integrated Mid-Continent Stacked Carbon Storage Hub (Phase II),0.0,40.108909,-100.942403
United States,2020-10-01,USA,Front-End Engineering Design (FEED) Study for a Carbon Capture Plant Retrofit to a Natural Gas-Fired Gas Turbine Combined Cycle Power Plant,741.0,33.576686,-96.61453
United States,2020-10-01,USA,Piperazine Advanced Stripper (PZAS™) Front End Engineering Design (FEED) Study,430.0,32.972526,-102.741463
United States,2019-10-01,USA,Front-End Engineering Design Study for Retrofit Post-Combustion Carbon Capture on a Natural Gas Combined Cycle Power Plant,550.0,35.280528,-119.470135
United States,2019-02-01,USA,Wabash Carbonsafe,0.0,39.531734,-87.427483
United States,2018-09-01,USA,"Commercial-Scale Carbon Storage Complex Feasibility Study at Dry Fork Station, Wyoming",385.0,44.392581,-105.447468
Canada,2019-11-28,CA,Lehigh Cement Feasibility Study of Full-Scale Carbon Capture Storage (CCS) on Cement,0.0,53.579909,-113.60094
Switzerland,2020-08-26,Sz,Orca Project,0.0,64.036714,-21.400102
Algeria,,DZ,Hassi Touareg Project,0.0,30.565029,6.433333
Algeria,2004-08-01,DZ,In Salah Gas Storage Project,0.0,27.185919,2.497676
Australia,2006-03-01,AU,CS Energy Callide Oxyfuels Project,30.0,-24.3412189483643,150.608520507813
Australia,2008-04-01,AU,CSIRO Transportable Capture Unit Munmorah (New South Wales),0.0,-33.211619,151.542258
Australia,2009-06-01,AU,CSIRO Transportable Capture Unit Tarong (Queensland),450.0,-26.783583,151.91512
Australia,2008-07-01,AU,CSIRO Transportable Capture Unit Loy Yang (Victoria),10.0,-38.2350540161133,146.571746826172
Australia,2009-01-01,AU,Fairview ZeroCarbon Project,100.0,-25.843656,148.565414
Australia,2016-01-01,AU,FuturGas Project,300.0,-36.6684455871582,139.995544433594
Australia,2009-01-01,AU,Gorgon Project,41099.9986343086,-20.7769088745117,115.460906982422
Australia,2008-12-01,AU,Hazelwood Post-Combustion 2030 Project,1635.0,-38.2729759216309,146.391784667969
Australia,2010-01-01,AU,HRL IDGCC Project,600.0,-38.255862,146.592067
Australia,2014-01-01,AU,Kwinana Project,500.0,-32.215362,115.776058
Australia,2006-01-01,AU,Monash Energy C to L CO2 Capture and Storage Project,60000.0,-38.235301,146.57174
Australia,2010-01-01,AU,Moomba Cooper Basin Carbon Storage Project,0.0,-28.113216,140.206906
Australia,2008-04-02,AU,Otway Basin Project - CO2CRC,0.0,-38.530524,142.811616
Australia,2014-01-01,AU,Sunrise LNG Sequestration,0.0,-8.945793,126.429718
Australia,2006-01-01,AU,ZeroGen Project,80.0,-23.510207,150.319062
Romania,2008-12-01,Rom,Turnu EOR,0.0,45.871514,22.053591
Canada,2012-01-01,CA,Alberta Carbon Trunk Line,0.0,53.788356,-112.961851
Canada,2013-01-01,CA,Belle Plaine Polygen Capture (for EOR),500.0,50.395646,-105.153207
Canada,2014-01-01,CA,Boundary Dam Integrated CCS Project,115.0,49.096174,-103.030653
Canada,1997-01-01,CA,Fenn Big Valley Project,0.0,52.050455,-112.734195
Canada,2007-01-01,CA,ICO2N Network,0.0,51.113532,-114.112924
Canada,2007-04-01,CA,Judy Creek EOR,0.0,54.570961,-115.520025
Canada,2011-01-01,CA,Northwest Upgrader Refinery,150000.0,53.841572,-113.112056
United States,2010-01-01,USA,Big Sky Validation Phase - Basalt Injection,0.0,46.106511,-118.915757
Canada,2005-11-01,CA,Pembina Cardium CO2 EOR Pilot,0.0,52.66256,-114.667908
Canada,2012-01-01,CA,SaskPower Oxyfuel,300.0,49.088206,-102.864847
Canada,2009-06-01,CA,Swan Hills In-Situ Coal Gasification/Sagitawah Power Project,300.0,54.565619,-115.731991
Canada,2000-10-01,CA,Weyburn-Midale Project,0.0,49.414461,-103.438402
China,2012-01-01,CN,Dagang Huashi Power CCS + EOR,330.0,39.051371,117.412391
China,2009-12-01,CN,Greengen Project in China,400.0,39.1037940979004,117.252159118652
China,1998-01-01,CN,Liaohe EOR Project,0.0,41.137084,122.137069
China,2008-12-30,CN,Ordos Basin Project,24000.0,39.330467,110.151331
China,2008-07-17,CN,Post-Combustion Capture Project in Beijing,845.0,39.886528,116.5325
China,2002-03-01,CN,Qinshui ECBM Project,0.0,35.690601348877,112.17504119873
Denmark,2008-02-01,DK,CASTOR CO2 from Capture to Storage,400.0,55.4543762207031,8.45364284515381
United Kingdom,2009-07-01,GB,ConocoPhillips - Immingham Pre-Combustion Project,1180.0,53.633126,-0.24317
United Kingdom,2012-01-01,GB,E.ON Kingsnorth Ruhrgas UK Post-Combustion Project,1600.0,51.418737,0.601415
United Kingdom,2014-01-01,GB,RWE nPower - Blyth Post-Combustion Project,2400.0,55.143175,-1.527295
France,2005-01-01,FR,PICOREF Project,0.0,47.83117,1.938112
France,2009-01-01,FR,Total Lacq Project,0.9,43.409338,-0.634186
France,2013-01-01,FR,Veolia Environment CCS Project,23.0,48.955353,2.729149
Germany,2015-01-01,DE,Altmark Sequestration,1000.0,52.83368,11.154315
Germany,2008-06-30,DE,CO2SINK Project (Ketzin),0.0,51.191544,12.356714
Germany,2014-01-01,DE,RWE IGCC Plant with CO2 Storage,450.0,50.863656,6.838015
Germany,2009-08-18,DE,RWE/BASF/Linde CO2 Capture Project Niederaussem,1000.0,50.994088,6.667984
Germany,2008-05-01,DE,Schwarze Pumpe (Vattenfall CO2-Free Oxyfuel Plant),30.0,51.531127,14.351916
Italy,2010-09-01,IT,Eni and Enel CCS Project,660.0,44.9950866699219,9.93990230560303
Japan,2009-01-01,JP,Japan CCS-Tomakomai,0.0,36.0871238708496,138.077102661133
Japan,2002-01-01,JP,JCOP Yubari/Ishikari ECBM Project,0.0,43.006987,142.08831
Japan,2005-10-01,JP,Kurosaki Chemical Plant Capture Project,18.0,33.872884,130.752913
Japan,2006-07-01,JP,Matsushima Coal Plant Capture Project,1000.0,32.939747,129.59783
Japan,2003-01-01,JP,Nagaoka Storage Project,0.0,37.449965,138.850413
Japan,1991-01-01,JP,Nanko Natural Gas Pilot Plant,2.0,34.6169776916504,135.405746459961
Japan,2004-01-01,JP,Nippon Steel CO2 Capture Project,0.0,35.3579292297363,139.867904663086
Japan,1994-01-01,JP,Sumitomo Chemicals Capture Project,0.0,35.475659,140.028774
Malaysia,1999-10-01,MY,Petronas Gas Processing Capture Project,0.0,5.83516,100.49881
Netherlands,2004-05-01,NL,K12-B CO2 Injection Project,0.0,53.341915,3.896861
Netherlands,2013-01-01,NL,Enecogen Cryogenic CO2 Capture,850.0,51.961685,4.09398
Netherlands,2012-01-01,NL,Nuon Magnum IGCC Plant with Capture Option,1200.0,53.447939,6.853228
Netherlands,2009-01-01,NL,SEQ Zero Emission Power Plant (ZEPP),50.0,53.107152,6.050072
Netherlands,2008-04-03,NL,CATO2 CO2 Catcher,1040.0,51.957395,4.027916
Norway,2015-01-01,NO,Ecofisk EOR (Pilot),0.0,56.549197,3.209986
Norway,2012-01-01,NO,Halten CO2 Project (Draugen-Heidrun),860.0,63.4113655090332,8.72965240478516
Norway,2009-01-01,NO,Karsto NGCC Capture Project,420.0,59.280426,5.523822
Norway,2010-01-01,NO,Mongstad Cogeneration Plant with CO2 Storage,630.0,60.8135833740234,5.02885723114014
Norway,2011-01-01,NO,Sargas Husnes Norwegian Clean Coal Plant Project,400.0,59.85858,5.740327
Norway,1996-08-01,NO,Sleipner Project,0.0,58.188087,2.731416
Norway,2008-04-22,NO,Snøhvit Field LNG and CO2 Storage Project,0.0,70.6877507,23.597363
Poland,2006-11-01,PL,MOVECBM Project,15.0,49.9476,19.0632
Poland,2001-10-01,PL,RECOPOL Project,0.0,49.9476,19.0632
Scotland,2011-01-01,S,BP-Peterhead Hydrogen Power Plant/Miller Field Project,385.0,57.477624,-1.788701
